French,English
Ajoutez des informations sur les administrateurs de l'entreprise,Add Company Directors Information
Type de Directeur,Director Type
Nombre D'Actions,Number Of Shares
Ajoutez un contact téléphonique du client,Add Customer Phone Contact
Téléphone,Phone
Ajoutez Une Adresse Client,Add Customer Address
Les Adresses Du Client,Customer Addresses
État,State
Ville natale,Home Town
Ville,City
Le Plus Proche Point De Repère,Nearest Landmark
Numéro de compteur électrique,Electric Meter Number
Adresse Postale,Mailing Address
Type d'Adresse,Address Type
Regroupement de Clients,Customer Grouping
Modifiez,Edit
Groupe de Clients,Customer Group
Sélectionnez Un Groupe de Clients,Select Customer Group
Sélectionnez Le Type de relation,Select Relationship Type
Recherche pour un Client,Search For Customer
Code de Client,Customer Code
Nom du Client,Customer Name
Type de client,Customer Type
Code de Client,Customer Code
La Relation de Client,Customer Relationship
Lier au groupe,Map to Group
Nom de groupe,Group Name
Nom du groupe,Name of the group
Code de Groupe,Group Code
GP00,GP00
Description du Groupe,Group Description
Personne De Contact,Contact Person
L'Adresse Du Client,Customer Address
Évaluation des risques,Risk Rating
Sélectionnez L'évaluation de Crédit,-- Select Credit Rating --
Enregistrez le Groupe de Clients,Save Customer Group
Liez le client au groupe,Map Customer to Group
Types de Relation du Client,Customer Relationship Types
Ajoutez Une Nouvelle Relation,Add New Relationship
Modifiez Le Type de Relation du Client,Edit Customer Relationship Type
Type de Relation,Relationship Type
La Succursale,Branch
Identification du Client:,Customer Identification:
Occupation:,Occupation:
Nationalité:,Nationality:
Le Nom De Jeune Fille:,Maiden Name:
Nom du premier enfant:,First Child Name:
Date de naissance de l'enfant:,Child Date of Birth:
Numéro d'enregistrement,Registration Number
Nom De L'Entreprise,Company Name
Site Web de l'Entreprise,Company Website
Messagerie De L'Entreprise.,Company Email
Bureau d'inscription,Registered Office
Chiffre d'affaires annuel,Annual Turn Over
Catégorie d'entreprise,Corporate Business Category
L'évaluation de Crédit,Credit Rating
L'évaluation de Crédit Précédente,Previous Credit Rating
Contact téléphonique:,Phone Contact:
Téléphone:,Phone:
Numéro De Téléphone:,Phone Number:
L'es Adresses Du Client:,Customer Addresses:
Adresse IP de l'utilisateur:,User IP Address:
Url de l'Application:,Application Url:
L'Information de Contact,Contact Information
Informations Sur les Clients Potentiels,Prospective Customer Information
Code du prospect,Prospect Code
Nom du prospect,Prospect Name
Type de prospect,Prospect Type
La Succursale de prospect,Prospect Branch
Recherchez un client chez Flexcube,Search Customer from Flexcube
Mise à jour des clients potentiels pour:,Prospect Customer Update for:
Code du prospect,Prospect Code
Code de Client,Customer Code
Type de prospect,Prospect Type
Type de client,Customer Type
Nom de l'entreprise du prospect,Prospect Corporate Name
Nom de l'entreprise du client,Customer Corporate Name
Nom du prospect,Prospect Name
Nom du Client,Customer Name
2e prénom du prospect,Prospect Middle Name
2e prénom du client,Customer Middle Name
Nom de famille du prospect,Prospect Last Name
Nom de famille du client,Customer Last Name
Mettre à jour,Update
Retour À La Liste,Back To List
LISTE de contrôle de KYC,KYC CheckList
Nom d'utilisateur,Username
Modifiez,Edit
Sous-Type,Sub Type
Coupe De Cheveux,Hair Cut
Retour à l'éligibilité,Back To Eligibility
Nouveau,New
-- Sélectionnez le Type de Garantie --,-- Select Collateral Type --
-- Sélectionnez le Sous-Type --,-- Select Sub Type --
Code de garantie,Collateral Code
Décote (%),Haircut (%)
Cycle d'évaluation,Valuation Cycle
Numéro de référence du mémorandum d'évaluation de Crédit,FAM Ref Number
Permettez Le Partage,Allow Sharing
Est basé sur l'emplacement,Is Location Based
Garantie de client,Customer Collateral
Type de Sécurité,Security Type
Évaluation,Rating
Numéro de référence de l'offre,Deal Ref Number
Date d'Échéance,Maturity Date
Montant de l'offre,Deal Amount
Nom de l'émetteur,Issuer Name
Montant utilisable du privilège,Lien Usable Amount
La Valeur De L'Unité,Unit Value
Numéro de référence de l'émetteur,Issuer Ref Number
Intérêt en pourcentage,Percentage Interest
Nombre d'unités,Number Of Units
Fréquence du paiement d'intérêts,Interest Payment Frequency
Nom de la Propriété,Property Name
Ville,City
Pays,Country
Date De La Construction,Construction Date
L'Adresse De La Propriété,Property Address
Date De L'Acquisition,Date Of Acquisition
Date de la dernière évaluation,Last Valuation Date
Évaluateur,Valuer
-- Sélectionnez Évaluateur --,-- Select Valuer --
Numéro de référence de l'évaluateur,Valuer Reference Number
Type de Base de Valeur,Value Base Type
-- Sélectionnez la Base de Valeur de la Propriété --,-- Select Property Value Base --
Valeur Marchande Ouverte,Open Market Value
Valeur de Vente Forcée,Forced Sale Value
Timbre Pour Couvrir,Stamp To Cover
Source d'évaluation,Valuation Source
Valeur Originale,Original Value
Valeur Disponible,Available Value
Statut de perfection,Perfection Status
-- Sélectionnez le statut Perfection --,-- Select Perfection Status --
Raison de la Non Perfection,Reason for Non Perfection
Le Nom De La Machine,Machine Name
Numéro de Machine,Machine Number
Nom du Fabricant,Manufacturer Name
Année De Fabrication,Year Of Manufacture
Année d'achat,Year Of Purchase
-- Sélectionner la Base de Valeur --,-- Select Value Base --
L'État De La Machine,Machine Condition
Emplacement des Machines,Machinery Location
La Valeur De Remplacement,Replacement Value
Taille de l'équipement,Equipment Size
Usage prévu,Intended Use
nom de l'institution,Institution Name
Adresse du Garant,Guarantor Address
Numéro de Référence du Garant,Guarantor Reference Number
Valeur de la garantie,Guarantee Value
Date de début,Start Date
Date de Fin,End Date
Est Détenue Par Le Client,Is Owned By Customer
Numéro de Police d'Assurance,Insurance Policy Number
Montant de la Prime,Premium Amount
Montant de la police,Policy Amount
Nom de la compagnie d'assurance,Insurance Company Name
Adresse de l'assureur,Insurer Address
Date de Début de la Police,Policy Start Date
Attribuez la date,Assign Date
Fréquence de Renouvellement,Renewal Frequency
-- Sélectionnez le Type de Fréquence de renouvellement --,-- Select Renewal Frequency Type --
Détails de l'assureur,Insurer Details
Date de Renouvellement de la Police,Policy Renewal Date
Type de Véhicule,Vehicle Type
L'État Du Véhicule,Vehicle Status
Marque du véhicule,Vehicle Make
Nom du Modèle,Model Name
La Date De Fabrication,Manufactured Date
Numéro De Série,Serial Number
Numéro De Châssis,Chasis Number
Le Numéro De Moteur,Engine Number
Nom du propriétaire,Name Of Owner
Entreprise d'Enregistrement,Registration Company
La Valeur De Revente,Resale Value
Date d'Évaluation,Valuation Date
Montant de La Dernière Évaluation,Last Valuation Amount
La Valeur De La Facture,Invoice Value
Nom du Métal Précieux,Precious Metal Name
Poids En Grammes,Weight In Grammes
Montant de l'évaluation,Valuation Amount
Taux Unitaire,Unit Rate
Forme De Métal Précieux,Precious Metal Form
Numéro de Référence,Reference Number
Montant À L'Échéance,Maturity Amount
Montant du privilège,Lien Amount
Détenue Par Le Client,Owned By Customer
Partager la Quantité,Share Quantity
Prix Du Marché,Market Price
Valeur de la Sécurité des Actions,Shares Security Value
La Valeur De L'Action Montant,Share Value Amount
Nom de la Sécurité,Name of Security
Information sur l'assurance,Insurance Information
Code du Document,Document Code
Document De Téléchargements,Document Uploads
Nouvelle Étiquette de Contrôle,New Control Label
Créez,Create
Principal,Principal
Sélectionnez le principal,Select principal
Autres,Others
Compte Client,Customer Account
Sélectionnez Le Compte du Client,Select Customer Account
Date du Contrat,Contract Date
Date d'Expiration du Contrat,Contract Expiry Date
Le principal est il prêt à accepter,Is the principal willing to accept
Le Format De La Banque,Bank Format
NON,NO
OUI,YES
Télécharger le document,Upload Document
Tenored?,Tenored?
La Valeur Du Contrat,Contract Value
Devise du contrat,Contract Currency
Sélectionnez la devise,Select Currency
Taux de Change de La Facture,Invoice Exchange Rate
Équivalent en Naira,Naira Equivalent
Nombre d'Étudiants,Number of Student
Frais De Scolarité Moyens Par Élève,Average School Fees Per Student
Frais de Dernière Session,Last Session Fees
L'Emplacement Du Marché,Market Location
Chiffre D'Affaires Mensuel Moyen (Sur 6 Mois),Average Monthly Turnover (Over 6 Months)
Le Nombre D'Articles Vendus,Sold Items
Numéro De La Demande,Application Number
Limite de secteur,Sector Limit
Exposition,Exposure
Secteur,Sector
Produit,Product
Sous-secteur,Subsector
Ténor Proposé,Proposed Tenor
Apport en Capitaux Propres,Equity Contribution
Apport en Capitaux Propres,Equity Contribution
Devise de la facture,Invoice Currency
Mettre à Jour la Facture de l'Installation,Update Facility Invoice
Ajouter Une Facture En masse,Add Bulk Invoice
de la Facture,of Invoice
Total de la Facture,Invoice Total
Taux de Change de La Facture,Invoice Exchange Rate
Équivalent en Naira,Naira Equivalent
Télécharger Une Facture en masse,Upload Bulk Invoice
Numéro de référence de syndication,Syndication Ref No
Nom de la Syndication,Syndication Name
Ajoutez les Détails de Syndication,Add Syndication Details
Montant de la Syndication,Syndication Amount
Devise,Currency
Valeur D'Échange,Exchange Amount
Sélectionnez L'Indice Des Prix Des Produits,Select Product Price Index
Taux de l'indice des prix des produits,Product Price Index Rate
Source de financement du CRMS,CRMS Funding Source
Sélectionnez la source de financement du CRMS,Select CRMS Funding Source
Source de remboursement du CRMS,CRMS Repayment Source
Sélectionnez la source de remboursement du CRMS,Select CRMS Repayment Source
But de Crédit,Facility Purpose
Fréquence de Remboursement du Capital,Principal Repayment Frequency
- Sélectionnez Remboursement du Capital-,-Select Principal Repayment-
Est Moratoire,Is Moratorium
Moratoire,Moratorium
Fréquence de Remboursement des Intérêts,Interest Repayment Frequency
Sélectionnez Remboursement d'Intérêt,-Select Interest Repayment-
Compte de collection,Collection Account
Sélectionnez un compte de collection,Select Collection Account
Compte d'Exploitation CASA,Operating CASA Account
Sélectionnez Compte d'exploitation,Select Operating Account
Prendre Des Cours De Prêt?,Take Over Loan?
Est Ligne Établissement?,Is Line Facility?
Affichez les critères d'acceptation des risques ayant échoué,View Failed Rac
Liste des produits de base,List of Commodities
Affichez les détails de la facture,View Invoice details
Type de révision,Review Type
Sélectionnez le type de révision,Select Review Type
Limite de ligne,Line limit
Ajouter Crédit,Add Facility
Montant de Crédit Demandée,Requested Facility Amount
Ténor (Jours),Tenor(Days)
Les Détails De La Facture,Invoice Details
Numéro de Contrat,Contract Number
Numéro De Commande D'Achat,Purchase Order Number
Numéro de la Feuille d'entrée,Entry Sheet Number
Le Numéro De La Facture,Invoice Number
La date de la facture est supérieure à,Invoice Date is more than
La date de facture ne peut pas être à l'avenir,Invoice Date can not be in the future
Reconfirmez Le Numéro De Facture,Reconfirm Invoice Number
Ajoutez une Facture,Add Invoice
Le Numéro de Contrat,Contract No
Affichez le téléchargement,View Upload
Téléchargement de documents sur les obligations et garanties,Bonds and Guarantees Document Upload
Document de Facture,Invoice Document
Détails de Syndication,Syndication Details
Sélectionnez le Type de Syndication,Select Syndication Type
Montant de la Syndication,Syndication Amount
S / N,S/N
Montant cotisé,Amount Contributed
Terminé,Done
Résultat des critères d'acceptation des risques,Rist Acceptance Criteria Result
Critère,Criteria
Liste Des Demandes de Prêt,Loan Application List
Référence,Reference
Conditions D'éligibilité au Prêt,Loan Eligibility Requirements
Initiez La Demande,Initiate Request
États Financiers du Client,Customer Financial Statement
Ténor (Jours),Tenor (Days)
Modifiez Le Montant du Prêt,Edit Loan Amount
Télécharger les documents justificatifs,Upload Supporting Documents
Ajoutez Un nouveau Téléchargement,Add New Upload
Téléchargement d'un nouveau document de prêt,New Loan Document Upload
Garantie de client,Customer Collateral
Lier la Garantie,Map Collateral
Garantie Enregistrée,Registered Collateral
Garantie Liée,Mapped Collateral
Garantie de client,Customer Collateral
Sous-Type de Garantie,Collateral Sub Type
Compagnie d'assurance,Insurance Company
Date d'expiration de la police,Policy Expiry Date
Le Montant De La Couverture,Coverage Amount
Titre / Code du document,Document Title / Code
Télécharger les documents justificatifs,Upload Supporting Documents
Demande de concession de frais,Request for Fee Concession
,Obligor&apos;s Name
Frais,Fees
Taux De Défaut,Default Rate
Modifiez Le Taux,Edit Rate
Tarif Proposé,Proposed Rate
Raison de la concession,Reason for Concession
Secrétariat-Recherche de Demande de Prêt,Secretariat - Loan Application Search
Les Demandes De Crédit,Credit Applications
-- Sélectionnez le Type d'application --,-- Select Application Type --
Décision du comité,Commitee Decision
Les Demandes De Prêt,Loan Applications
Téléchargement de la décision du comité,Committee Decision Upload
Sélectionnez le Crédit à réviser,Select facility to review
Produit Proposé,Proposed Product
- Sélectionnez Statut -,-- Select Status --
Pas Pris En Charge,Not Supported
Prise en charge,Supported
Produit Recommandé,Recommended Product
Limite Recommandée,Recommended Limit
Ténor Recommandé,Recommended Tenor
Changez le produit,-- Change Product --
Votez,Vote
-- Sélectionnez Vote --,-- Select Vote --
Représentez,Represent
Démissionnez,Step Down
Décision des Membres du Comité,Committee Members Decision
Recherche de Demande de Prêt,Loan Application Search
Les Demandes De Prêt,Loan Applications
Actuellement Avec,Currently With
Niveau,Level
L'État De La Demande,Application Status
Réattribuez L'Application,Reassign Application
Changez le Propriétaire(Agent de compte),Change Owner(Account Officer)
Informations sur la demande de prêt,Loan Application Information
La source:,Source:
L'Agent de Compte:,Account Officer:
Montant Approuvé:,Approved Amount:
La Demande D'Approbation:,Approval Application:
Partie liée:,Related Party:
Lié au projet:,Project Related:
La rétrocession:,OnLending:
Fonds D'Intervention:,Intervention Funds:
Basé sur ORR:,ORR Based:
Demande Déjà Approuvée:,Is Already Approved Application:
Flux de travail des applications:,Application WorkFlow:
